,id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
0,5dmWZ4uqAU4kpJw0AEc/Hw==,-34.62322617,-58.40097809,San Cristobal,7.0,6.0,534.0,384.0,470000.0,Casa
1,kFa6ndbLuJ2k2zfzI1fY3A==,-34.5617518,-58.4612054,Belgrano,1.0,1.0,25.0,25.0,60000.0,Departamento
2,S0fct9jgpfmuqmOaPntC/Q==,-34.61750793,-58.38438797,Monserrat,1.0,1.0,40.0,40.0,82500.0,Departamento
3,sduUfHxdOh9PuRwJruEcyA==,-34.61750793,-58.38438797,San Telmo,1.0,1.0,40.0,40.0,82500.0,Departamento
4,Tl1ebIQJyPOXV2XJMEImQg==,-34.61750793,-58.38438797,Constitución,1.0,1.0,40.0,40.0,82500.0,Departamento
5,Uqkq0lwQte6lujD2Zp1kIQ==,-34.5586533,-58.446043,Belgrano,2.0,1.0,37.0,34.0,195000.0,PH
6,nikVbADtlsl4AU9FbEmjdw==,-34.5797648,-58.4358085,Palermo,2.0,1.0,77.0,40.0,145000.0,Departamento
7,9t0mVH2lqn5LvSzkFXfJGA==,-34.5890045,-58.3986117,Recoleta,2.0,1.0,60.0,60.0,210000.0,Departamento
8,EJD/Od6QOYLgONQq/a1XFg==,-34.5562788406,-58.4625067688,Belgrano,1.0,1.0,40.0,40.0,110000.0,Departamento
9,UaZ1NXI8hry8Wi0KJ/xiTw==,-34.5570994,-58.4731705,Nuñez,2.0,2.0,75.0,53.0,160000.0,Departamento
10,kwqVmicRFAemC1xf11DB3g==,-34.5754877,-58.4062649,Palermo,2.0,1.0,71.0,56.0,290000.0,Departamento
11,g+c84XjSI54uHCRj2fTVYA==,-34.5774132,-58.4227049,Palermo,2.0,1.0,57.0,57.0,215000.0,Departamento
12,JplcT7XMrQxc+Ba+Xo8Tjg==,-34.5570994,-58.4731705,Belgrano,2.0,2.0,75.0,53.0,160000.0,Departamento
13,wYQvnyjYy7Z2E0XNkLneGA==,-34.5628094,-58.4767578,Congreso,2.0,1.0,49.0,46.0,74000.0,Departamento
