,0,Avg_Open_To_Buy,Avg_Utilization_Ratio,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Contacts_Count_12_mon,Credit_Limit,Customer_Age,Dependent_count,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Gender_M,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Months_Inactive_12_mon,Months_on_book,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Total_Relationship_Count,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
0,,11914.0,0.061,0.0,0.0,0.0,3.0,12691.0,45.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,1.335,1.625,5.0,777.0,1144.0,42.0
1,,7392.0,0.105,0.0,0.0,0.0,2.0,8256.0,49.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,44.0,1.541,3.714,6.0,864.0,1291.0,33.0
2,,3418.0,0.0,0.0,0.0,0.0,0.0,3418.0,51.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,36.0,2.594,2.333,4.0,0.0,1887.0,20.0
3,,796.0,0.76,0.0,0.0,0.0,1.0,3313.0,40.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,34.0,1.405,2.333,3.0,2517.0,1171.0,20.0
4,,4716.0,0.0,0.0,0.0,0.0,0.0,4716.0,40.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,2.175,2.5,5.0,0.0,816.0,28.0
5,,2763.0,0.311,0.0,0.0,0.0,2.0,4010.0,44.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,36.0,1.376,0.846,3.0,1247.0,1088.0,24.0
6,,32252.0,0.066,1.0,0.0,0.0,3.0,34516.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46.0,1.975,0.722,6.0,2264.0,1330.0,31.0
7,,27685.0,0.048,0.0,0.0,1.0,2.0,29081.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,27.0,2.204,0.714,2.0,1396.0,1538.0,36.0
8,,19835.0,0.113,0.0,0.0,0.0,0.0,22352.0,37.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,36.0,3.355,1.182,5.0,2517.0,1350.0,24.0
9,,9979.0,0.144,0.0,0.0,0.0,3.0,11656.0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,36.0,1.524,0.882,6.0,1677.0,1441.0,32.0
10,,5281.0,0.217,0.0,0.0,0.0,2.0,6748.0,42.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,31.0,0.831,0.68,5.0,1467.0,1201.0,42.0
11,,7508.0,0.174,0.0,0.0,0.0,3.0,9095.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,54.0,1.433,1.364,6.0,1587.0,1314.0,26.0
12,,11751.0,0.0,0.0,0.0,0.0,0.0,11751.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,36.0,3.397,3.25,3.0,0.0,1539.0,17.0
13,,6881.0,0.195,0.0,0.0,0.0,3.0,8547.0,35.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,1.163,2.0,5.0,1666.0,1311.0,33.0
14,,1756.0,0.279,0.0,0.0,0.0,2.0,2436.0,57.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,48.0,1.19,0.611,5.0,680.0,1570.0,29.0
15,,3262.0,0.23,0.0,0.0,0.0,2.0,4234.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,1.707,1.7,5.0,972.0,1348.0,27.0
16,,28005.0,0.078,0.0,0.0,0.0,3.0,30367.0,48.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,36.0,1.708,0.929,6.0,2362.0,1671.0,27.0
17,,12244.0,0.095,0.0,0.0,0.0,1.0,13535.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,34.0,0.653,1.625,4.0,1291.0,1028.0,21.0
18,,676.0,0.788,0.0,0.0,0.0,3.0,3193.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,56.0,1.831,1.143,2.0,2517.0,1336.0,30.0
19,,13313.0,0.08,0.0,0.0,0.0,2.0,14470.0,45.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,37.0,0.966,0.909,6.0,1157.0,1207.0,21.0
20,,19179.0,0.086,0.0,0.0,0.0,0.0,20979.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,0.906,0.929,5.0,1800.0,1178.0,27.0
