OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,TotalParoRegistrado,PAD_1C02,PAD_1_COD_PROV,PAD_1_COD_CCAA,Shape__Area,Shape__Length,Codigop
1,1001,Alegría-Dulantzi,1,16,184.0,2856.0,Araba/Álava,16.0,37092694.4663086,48191.5685368662,1.0
2,1002,Amurrio,1,16,766.0,10260.0,Araba/Álava,16.0,179911447.932739,90623.6219858347,1.0
3,1003,Aramaio,1,16,18.0,1502.0,Araba/Álava,16.0,137706565.380493,58592.9140476931,1.0
4,1004,Artziniega,1,16,110.0,1840.0,Araba/Álava,16.0,51300778.0101318,31498.524043871603,1.0
5,1006,Armiñón,1,16,12.0,234.0,Araba/Álava,16.0,23802884.8815918,33293.805035854,1.0
6,1008,Arratzua-Ubarrundia,1,16,30.0,979.0,Araba/Álava,16.0,107422965.859497,89972.9346112103,1.0
7,1009,Asparrena,1,16,86.0,1630.0,Araba/Álava,16.0,118008144.150635,70669.9682119926,1.0
8,1010,Ayala/Aiara,1,16,111.0,2946.0,Araba/Álava,16.0,264340321.73364303,88663.19155529949,1.0
9,1011,Baños de Ebro/Mañueta,1,16,6.0,308.0,Araba/Álava,16.0,17206801.2355957,24650.5913155995,1.0
10,1013,Barrundia,1,16,24.0,903.0,Araba/Álava,16.0,182865233.474854,80734.4861917157,1.0
11,1014,Berantevilla,1,16,25.0,449.0,Araba/Álava,16.0,66683914.673584,52853.538403597406,1.0
12,1016,Bernedo,1,16,20.0,499.0,Araba/Álava,16.0,242118724.943237,117480.80274547198,1.0
13,1017,Campezo/Kanpezu,1,16,62.0,1059.0,Araba/Álava,16.0,157734527.97302198,71370.0586931678,1.0
14,1018,Zigoitia,1,16,47.0,1727.0,Araba/Álava,16.0,190689591.114746,66723.0455623912,1.0
15,1019,Kripan,1,16,2.0,186.0,Araba/Álava,16.0,23011611.250976603,22267.697923288597,1.0
16,1020,Kuartango,1,16,14.0,368.0,Araba/Álava,16.0,193738038.99938998,67625.2409215486,1.0
17,1021,Elburgo/Burgelu,1,16,20.0,612.0,Araba/Álava,16.0,58413461.3643799,82503.2324045707,1.0
18,1022,Elciego,1,16,64.0,1005.0,Araba/Álava,16.0,29992060.4295654,29558.809748196098,1.0
19,1023,Elvillar/Bilar,1,16,14.0,355.0,Araba/Álava,16.0,32204126.9476318,30286.9678315934,1.0
20,1027,Iruraiz-Gauna,1,16,16.0,514.0,Araba/Álava,16.0,87194894.6575928,114753.55426898198,1.0
21,1028,Labastida/Bastida,1,16,122.0,1460.0,Araba/Álava,16.0,70850387.30285642,48359.7309016974,1.0
22,1030,Lagrán,1,16,4.0,168.0,Araba/Álava,16.0,89520962.18347171,58787.159834553895,1.0
23,1031,Laguardia,1,16,60.0,1478.0,Araba/Álava,16.0,148369417.903687,119147.910563856,1.0
24,1032,Lanciego/Lantziego,1,16,42.0,681.0,Araba/Álava,16.0,44584271.196655296,36774.798698111,1.0
25,1033,Lapuebla de Labarca,1,16,52.0,852.0,Araba/Álava,16.0,10959950.5217285,16735.26100238,1.0
26,1034,Leza,1,16,8.0,212.0,Araba/Álava,16.0,17913393.916748002,23028.173838082002,1.0
27,1036,Laudio/Llodio,1,16,1370.0,18212.0,Araba/Álava,16.0,70349200.9631348,37884.4032486068,1.0
28,1037,Arraia-Maeztu,1,16,26.0,722.0,Araba/Álava,16.0,227871650.605103,82782.1584585049,1.0
29,1039,Moreda de Álava/Moreda Araba,1,16,10.0,229.0,Araba/Álava,16.0,16183708.0426025,16818.8583855525,1.0
30,1041,Navaridas,1,16,6.0,226.0,Araba/Álava,16.0,16570925.736694299,16391.752698404198,1.0
31,1042,Okondo,1,16,64.0,1171.0,Araba/Álava,16.0,57443600.577026404,48032.7472786812,1.0
32,1043,Oyón-Oion,1,16,397.0,3326.0,Araba/Álava,16.0,83120332.6367188,57849.4337562085,1.0
33,1044,Peñacerrada-Urizaharra,1,16,6.0,269.0,Araba/Álava,16.0,114488216.44812,57862.173132250195,1.0
34,1046,Erriberagoitia/Ribera Alta,1,16,26.0,745.0,Araba/Álava,16.0,222726030.58667,114217.03000650801,1.0
35,1047,Ribera Baja/Erribera Beitia,1,16,72.0,1353.0,Araba/Álava,16.0,47067024.9719238,42082.1131849662,1.0
36,1049,Añana,1,16,4.0,159.0,Araba/Álava,16.0,40306810.6057129,29416.270422336802,1.0
37,1051,Salvatierra/Agurain,1,16,424.0,4985.0,Araba/Álava,16.0,70426090.2670898,51730.5490728753,1.0
38,1052,Samaniego,1,16,4.0,303.0,Araba/Álava,16.0,15917589.7192383,22381.4958256141,1.0
39,1053,San Millán/Donemiliaga,1,16,32.0,717.0,Araba/Álava,16.0,158417662.7052,150265.399031152,1.0
40,1054,Urkabustaiz,1,16,66.0,1339.0,Araba/Álava,16.0,113992452.99218799,52090.0864902251,1.0
41,1055,Valdegovía/Gaubea,1,16,44.0,1015.0,Araba/Álava,16.0,443525329.817505,143717.729256511,1.0
42,1056,Harana/Valle de Arana,1,16,8.0,237.0,Araba/Álava,16.0,70919294.9138184,52653.141894062,1.0
43,1057,Villabuena de Álava/Eskuernaga,1,16,14.0,292.0,Araba/Álava,16.0,15642386.4829102,19091.7620161013,1.0
44,1058,Legutio,1,16,99.0,1747.0,Araba/Álava,16.0,86196976.1887207,51874.7917787896,1.0
45,1059,Vitoria-Gasteiz,1,16,17754.0,244634.0,Araba/Álava,16.0,516113835.851563,152167.794961327,1.0
46,1060,Yécora/Iekora,1,16,8.0,269.0,Araba/Álava,16.0,34352679.251709,29572.0367103567,1.0
47,1061,Zalduondo,1,16,8.0,188.0,Araba/Álava,16.0,25675816.860839803,28752.975528619703,1.0
48,1062,Zambrana,1,16,28.0,398.0,Araba/Álava,16.0,73225021.26086429,60540.5374369807,1.0
49,1063,Zuia,1,16,68.0,2349.0,Araba/Álava,16.0,228929621.214478,69830.26558663169,1.0
50,1901,Iruña Oka/Iruña de Oca,1,16,193.0,3270.0,Araba/Álava,16.0,99445060.637207,48448.1027083912,1.0
51,1902,Lantarón,1,16,39.0,888.0,Araba/Álava,16.0,126006607.545898,87101.3535567362,1.0
52,2001,Abengibre,2,8,54.0,761.0,Albacete,8.0,51326771.2263794,32589.190350158,2.0
53,2002,Alatoz,2,8,68.0,582.0,Albacete,8.0,106111394.296997,48006.6437052696,2.0
54,2003,Albacete,2,8,16352.0,172426.0,Albacete,8.0,1890077858.59308,316172.515745355,2.0
55,2004,Albatana,2,8,74.0,714.0,Albacete,8.0,50015543.7808838,28900.163978277298,2.0
56,2005,Alborea,2,8,93.0,710.0,Albacete,8.0,120454624.614075,46911.754532031104,2.0
57,2006,Alcadozo,2,8,89.0,688.0,Albacete,8.0,163569187.942993,68783.3414868009,2.0
58,2007,Alcalá del Júcar,2,8,108.0,1217.0,Albacete,8.0,244721816.1922,66481.5083097611,2.0
59,2008,Alcaraz,2,8,174.0,1463.0,Albacete,8.0,609630059.674072,370651.86395107897,2.0
60,2009,Almansa,2,8,2628.0,24800.0,Albacete,8.0,878009861.059631,119740.514561076,2.0
61,2010,Alpera,2,8,270.0,2289.0,Albacete,8.0,295829936.358643,72903.2825150455,2.0
62,2011,Ayna,2,8,56.0,690.0,Albacete,8.0,240490211.694946,84054.0603840115,2.0
63,2012,Balazote,2,8,255.0,2346.0,Albacete,8.0,107687272.898376,40805.6305424358,2.0
64,2013,Balsa de Ves,2,8,10.0,155.0,Albacete,8.0,127529964.746338,51031.660692529804,2.0
65,2014,"Ballestero, El",2,8,30.0,427.0,Albacete,8.0,228963990.27807596,63436.8592338159,2.0
66,2015,Barrax,2,8,268.0,1903.0,Albacete,8.0,315063297.925293,68152.29396201769,2.0
67,2016,Bienservida,2,8,122.0,634.0,Albacete,8.0,148493706.040771,71987.7794221775,2.0
68,2017,Bogarra,2,8,132.0,920.0,Albacete,8.0,272092075.575195,98700.5361175734,2.0
69,2018,Bonete,2,8,113.0,1123.0,Albacete,8.0,206704747.12206998,71607.67319448809,2.0
70,2019,"Bonillo, El",2,8,347.0,2889.0,Albacete,8.0,832066514.710449,198588.511958345,2.0
71,2020,Carcelén,2,8,46.0,518.0,Albacete,8.0,125332500.27593999,49715.210155577195,2.0
72,2021,Casas de Juan Núñez,2,8,138.0,1318.0,Albacete,8.0,147945999.182007,57004.7257662866,2.0
73,2022,Casas de Lázaro,2,8,36.0,380.0,Albacete,8.0,184964975.376099,90847.94854839641,2.0
74,2023,Casas de Ves,2,8,58.0,654.0,Albacete,8.0,208878818.735474,87804.4061047533,2.0
75,2024,Casas-Ibáñez,2,8,460.0,4555.0,Albacete,8.0,172657747.03826898,72490.0076905978,2.0
76,2025,Caudete,2,8,1062.0,10115.0,Albacete,8.0,232884172.194458,63633.4901209138,2.0
77,2026,Cenizate,2,8,121.0,1204.0,Albacete,8.0,105775299.87683101,45531.115179588094,2.0
78,2027,Corral-Rubio,2,8,21.0,351.0,Albacete,8.0,156197169.598877,54364.0475581335,2.0
79,2028,Cotillas,2,8,22.0,139.0,Albacete,8.0,23610166.5325928,20180.7107066728,2.0
80,2029,Chinchilla de Monte-Aragón,2,8,392.0,4172.0,Albacete,8.0,1123831856.65149,210814.112477814,2.0
81,2030,Elche de la Sierra,2,8,546.0,3711.0,Albacete,8.0,391132884.322144,107320.14069342,2.0
82,2031,Férez,2,8,112.0,696.0,Albacete,8.0,205626235.737183,72676.3322497688,2.0
83,2032,Fuensanta,2,8,34.0,310.0,Albacete,8.0,39993227.45526121,34066.5429431111,2.0
84,2033,Fuente-Álamo,2,8,322.0,2574.0,Albacete,8.0,219370510.295166,58461.623865713496,2.0
85,2034,Fuentealbilla,2,8,172.0,1876.0,Albacete,8.0,180825588.52423102,83638.6885383399,2.0
86,2035,"Gineta, La",2,8,236.0,2509.0,Albacete,8.0,227456905.22509798,64000.874692088,2.0
87,2036,Golosalvo,2,8,14.0,111.0,Albacete,8.0,47030428.7817993,31664.877729278,2.0
88,2037,Hellín,2,8,3866.0,30419.0,Albacete,8.0,1276055868.59985,191605.353104154,2.0
89,2038,"Herrera, La",2,8,44.0,340.0,Albacete,8.0,104962129.490234,54264.858619903796,2.0
90,2039,Higueruela,2,8,78.0,1222.0,Albacete,8.0,340337489.256042,111104.30995397801,2.0
91,2040,Hoya-Gonzalo,2,8,50.0,666.0,Albacete,8.0,189764472.42157,61862.7862541234,2.0
92,2041,Jorquera,2,8,44.0,377.0,Albacete,8.0,113209520.33990501,73764.5979679319,2.0
93,2042,Letur,2,8,151.0,973.0,Albacete,8.0,428850840.53552204,104486.66975742,2.0
94,2043,Lezuza,2,8,160.0,1458.0,Albacete,8.0,597609325.18335,110927.767942996,2.0
95,2044,Liétor,2,8,238.0,1279.0,Albacete,8.0,510121466.458862,100814.85725060699,2.0
