,CustomerID,Frequency,Sold,Days,Cluster
0,12347.0,182,4310.0,1,2
1,12348.0,31,1797.24,74,2
2,12349.0,73,1757.55,18,2
3,12350.0,17,334.4,309,0
4,12352.0,95,1545.41,35,0
5,12353.0,4,89.0,203,0
6,12354.0,58,1079.4,231,0
7,12355.0,13,459.4,213,0
8,12356.0,59,2811.43,22,2
9,12357.0,131,6207.67,32,1
10,12358.0,19,1168.06,1,0
11,12359.0,254,6245.53,7,1
12,12360.0,129,2662.06,51,2
13,12361.0,10,189.9,286,0
14,12362.0,274,5154.58,2,2
15,12363.0,23,552.0,109,0
16,12364.0,85,1313.1,7,0
17,12365.0,23,320.69,290,0
18,12367.0,11,168.9,3,0
19,12370.0,167,3545.69,50,2
20,12371.0,63,1887.96,44,2
21,12372.0,52,1298.04,71,0
22,12373.0,14,364.6,310,0
23,12374.0,33,742.9300000000001,24,0
24,12375.0,18,455.42,2,0
25,12377.0,77,1628.12,314,0
26,12378.0,219,4008.62,129,2
27,12379.0,41,850.29,81,0
28,12380.0,105,2720.56,21,2
29,12381.0,91,1803.96,4,2
30,12383.0,100,1839.31,184,2
31,12384.0,30,566.16,28,0
32,12386.0,10,401.9,337,0
33,12388.0,100,2780.66,15,2
34,12390.0,32,549.84,79,0
35,12391.0,100,460.89,21,0
36,12393.0,64,1582.6000000000001,71,0
37,12394.0,27,1272.48,63,0
38,12395.0,159,2998.28,15,2
39,12397.0,126,2409.9,35,2
40,12398.0,85,1635.6599999999999,45,0
41,12399.0,59,1108.65,118,0
42,12401.0,5,84.3,302,0
43,12402.0,11,225.6,322,0
44,12403.0,6,409.7,49,0
45,12405.0,54,1710.39,148,0
46,12406.0,108,3280.75,21,2
47,12407.0,77,1708.1200000000001,49,0
48,12408.0,113,2842.57,32,2
49,12409.0,114,11056.93,78,1
50,12410.0,28,681.0799999999999,300,0
51,12412.0,61,1226.88,74,0
52,12413.0,40,694.15,66,0
53,12414.0,18,562.41,216,0
55,12417.0,198,3578.8,2,2
56,12418.0,34,668.58,112,0
57,12420.0,29,600.39,63,0
58,12421.0,46,806.27,15,0
59,12422.0,39,803.5600000000001,95,0
60,12423.0,126,1849.11,0,2
61,12424.0,30,1760.96,162,2
62,12425.0,36,777.2,77,0
63,12426.0,30,582.73,194,0
64,12427.0,35,708.37,11,0
65,12428.0,300,7877.2,25,1
66,12429.0,97,3750.4,8,2
67,12430.0,11,256.4,42,0
68,12431.0,240,6416.39,35,1
69,12432.0,108,5059.32,42,2
71,12434.0,54,765.19,84,0
72,12435.0,36,7829.89,79,1
73,12436.0,16,509.01,99,0
74,12437.0,201,4896.66,1,2
75,12438.0,98,2906.85,13,2
76,12441.0,11,173.55,366,0
77,12442.0,12,172.06,2,0
78,12444.0,177,5005.46,20,2
79,12445.0,4,133.4,21,0
80,12446.0,58,1002.3100000000001,57,0
81,12447.0,26,476.49,242,0
82,12448.0,22,449.45,43,0
83,12449.0,191,4067.29,21,2
84,12450.0,8,197.88,155,0
85,12451.0,355,8933.52,10,1
86,12452.0,23,428.57,16,0
87,12453.0,43,707.09,133,0
88,12454.0,30,5.684341886080802e-14,52,0
89,12455.0,90,2466.86,72,2
90,12456.0,129,3153.89,43,2
91,12457.0,68,1917.78,57,2
92,12458.0,38,947.4,70,0
93,12461.0,35,826.88,93,0
94,12462.0,72,1124.01,1,0
95,12463.0,88,1303.63,45,0
96,12464.0,29,1212.05,9,0
97,12465.0,51,733.89,7,0
98,12468.0,40,724.0400000000001,142,0
100,12472.0,391,6229.48,30,1
101,12473.0,179,2848.23,28,2
102,12474.0,457,7116.47,16,1
103,12475.0,36,723.38,53,0
104,12476.0,264,6546.58,0,1
106,12478.0,36,680.99,3,0
107,12479.0,35,477.3,3,0
108,12480.0,154,3281.63,27,2
109,12481.0,218,5590.86,22,1
110,12483.0,81,2327.13,16,2
111,12484.0,350,4495.27,32,2
112,12488.0,55,1298.66,9,0
113,12489.0,15,334.93,335,0
114,12490.0,245,5417.93,4,1
115,12491.0,26,460.40000000000003,38,0
116,12492.0,20,263.21000000000004,62,0
117,12493.0,23,416.79,165,0
118,12494.0,84,1139.3500000000001,9,0
119,12497.0,14,1043.1,81,0
120,12498.0,23,403.70000000000005,20,0
121,12500.0,65,4206.27,22,2
122,12501.0,160,2089.68,314,2
123,12502.0,147,3723.87,95,2
124,12504.0,15,114.0,17,0
125,12506.0,23,73.5,232,0
126,12507.0,23,1258.06,133,0
127,12508.0,69,398.27,25,0
128,12509.0,7,176.5,283,0
129,12510.0,33,982.5699999999999,142,0
130,12512.0,34,138.03,65,0
131,12513.0,36,586.79,84,0
132,12514.0,51,1017.68,266,0
133,12515.0,16,383.7,352,0
134,12516.0,26,1312.06,77,0
135,12517.0,286,2464.89,27,2
136,12518.0,124,2056.89,0,2
137,12519.0,18,340.84,63,0
138,12520.0,155,2582.51,78,2
139,12521.0,38,599.68,142,0
140,12522.0,12,192.72,38,0
141,12523.0,110,1745.57,1,2
142,12524.0,144,4485.72,8,2
143,12526.0,71,1316.66,0,0
144,12527.0,18,348.71000000000004,81,0
145,12528.0,95,1922.28,8,2
146,12530.0,68,1623.63,59,0
147,12531.0,17,125.22,14,0
148,12532.0,16,349.83000000000004,29,0
149,12534.0,63,1089.18,130,0
150,12535.0,34,716.35,91,0
151,12536.0,273,4106.82,7,2
152,12538.0,21,363.95,28,0
153,12539.0,274,3852.5,21,2
155,12541.0,52,981.18,29,0
156,12544.0,20,355.7,29,0
157,12545.0,50,1000.39,74,0
158,12546.0,70,1141.5,46,0
159,12547.0,8,207.79999999999998,197,0
160,12548.0,5,95.19999999999999,165,0
161,12550.0,57,964.83,78,0
162,12551.0,10,168.0,357,0
163,12552.0,20,437.82,38,0
164,12553.0,196,3652.25,7,2
165,12556.0,121,603.71,49,0
166,12557.0,33,11990.960000000001,15,1
167,12558.0,22,1.0658141036401503e-14,1,0
168,12559.0,22,536.21,310,0
169,12560.0,111,2101.39,4,2
170,12561.0,16,238.85,302,0
171,12562.0,168,3781.7400000000002,7,2
172,12564.0,21,456.9,260,0
173,12565.0,10,131.17,281,0
174,12566.0,20,346.7,72,0
175,12567.0,463,9114.94,22,1
176,12569.0,191,4064.9900000000002,1,2
177,12571.0,34,519.61,39,0
178,12572.0,62,1004.72,8,0
179,12573.0,28,160.54000000000002,226,0
180,12574.0,11,218.45,315,0
181,12576.0,89,1306.98,35,0
182,12577.0,148,595.4,34,0
183,12578.0,120,2753.36,20,2
184,12579.0,31,410.72,72,0
185,12580.0,24,415.7,246,0
186,12581.0,15,197.71,39,0
187,12582.0,22,511.36,238,0
188,12583.0,251,7187.34,2,1
189,12584.0,126,1893.95,3,2
190,12585.0,97,1982.81,233,2
191,12586.0,12,179.94000000000003,16,0
192,12587.0,4,144.0,7,0
193,12588.0,10,214.89999999999998,38,0
194,12589.0,35,646.68,28,0
195,12590.0,70,9861.38,189,1
196,12591.0,26,452.84999999999997,316,0
197,12592.0,18,437.6,91,0
198,12593.0,21,418.09999999999997,108,0
199,12594.0,119,3320.2200000000003,37,2
200,12596.0,27,618.27,50,0
201,12597.0,214,3683.13,18,2
202,12598.0,133,3002.68,9,2
203,12599.0,62,1032.58,28,0
204,12600.0,65,2581.04,28,2
205,12601.0,29,569.5600000000001,189,0
206,12602.0,12,153.12,58,0
207,12603.0,3,739.1999999999999,21,0
208,12604.0,16,254.18,78,0
209,12607.0,202,3.552713678800501e-15,57,0
210,12609.0,60,1126.85,77,0
211,12610.0,111,2057.99,22,2
212,12611.0,65,1193.32,51,0
213,12612.0,21,643.59,57,0
214,12613.0,163,3218.98,30,2
215,12614.0,20,315.6,277,0
216,12615.0,105,2291.19,1,2
217,12616.0,36,657.25,84,0
218,12617.0,42,355.53,28,0
219,12618.0,11,177.31,21,0
220,12619.0,95,3214.81,15,2
221,12620.0,92,1339.41,14,0
223,12622.0,11,180.1,231,0
224,12623.0,18,305.1,275,0
225,12624.0,38,641.13,105,0
226,12625.0,91,2614.32,211,2
227,12626.0,307,6388.35,22,1
228,12627.0,230,4478.53,10,2
229,12628.0,43,769.61,3,0
230,12630.0,64,1270.88,9,0
231,12631.0,31,640.5,56,0
232,12633.0,103,2140.63,58,2
233,12635.0,101,1689.18,89,0
234,12637.0,394,5953.25,66,1
235,12638.0,39,671.69,32,0
236,12639.0,22,486.1,238,0
237,12640.0,53,1174.58,23,0
238,12641.0,10,185.9,114,0
239,12642.0,47,1013.26,24,0
240,12643.0,24,3344.64,127,2
241,12644.0,31,477.91,129,0
242,12645.0,74,1755.38,33,2
243,12646.0,45,1346.97,4,0
244,12647.0,128,3669.92,21,2
245,12648.0,21,318.05,154,0
246,12649.0,33,603.71,106,0
247,12650.0,20,314.44,2,0
248,12651.0,9,114.0,334,0
249,12652.0,51,914.53,321,0
250,12653.0,43,2209.85,148,2
251,12654.0,38,601.98,10,0
252,12656.0,130,3982.72,16,2
253,12657.0,56,1152.06,10,0
254,12658.0,36,686.05,18,0
255,12659.0,5,91.68,29,0
256,12660.0,13,245.1,10,0
257,12662.0,232,3817.08,0,2
258,12664.0,38,4863.88,7,2
259,12665.0,4,61.75,324,0
260,12667.0,33,620.13,57,0
261,12668.0,168,3743.18,6,2
262,12669.0,102,1607.73,150,0
263,12670.0,94,2986.15,9,2
264,12672.0,10,225.89999999999998,329,0
265,12673.0,42,610.52,4,0
266,12674.0,91,1919.31,11,2
267,12676.0,45,1331.39,24,0
269,12679.0,56,1058.67,51,0
270,12680.0,52,862.81,0,0
272,12682.0,525,12288.22,3,1
273,12683.0,362,8221.09,3,1
274,12684.0,105,2283.63,7,2
275,12685.0,157,2863.08,27,2
276,12686.0,7,89.14,371,0
277,12688.0,171,4873.8099999999995,113,2
278,12689.0,72,1247.61,25,0
279,12690.0,16,389.01,205,0
280,12691.0,32,1035.8,27,0
281,12693.0,41,830.96,120,0
282,12694.0,37,869.67,69,0
283,12695.0,27,582.1,6,0
284,12697.0,43,939.02,20,0
285,12700.0,270,4867.99,7,2
286,12701.0,53,797.71,79,0
287,12702.0,12,219.0,19,0
288,12703.0,22,274.7,63,0
289,12704.0,90,2220.84,6,2
290,12705.0,348,6814.24,14,1
291,12707.0,33,603.42,291,0
292,12708.0,174,2616.32,29,2
293,12709.0,257,9294.1,2,1
294,12710.0,79,1130.57,96,0
295,12712.0,142,4241.63,22,2
296,12713.0,38,848.55,0,0
297,12714.0,259,4708.86,8,2
298,12715.0,21,353.86,105,0
299,12716.0,69,1053.49,3,0
300,12717.0,56,980.98,150,0
301,12718.0,19,238.25,70,0
302,12719.0,42,608.1,4,0
303,12720.0,359,5713.28,2,1
304,12721.0,164,2628.98,31,2
305,12722.0,57,904.33,84,0
306,12723.0,69,725.07,3,0
307,12724.0,53,1031.41,4,0
308,12725.0,24,427.8,370,0
309,12726.0,124,2609.1,27,2
310,12727.0,141,3947.7,10,2
311,12728.0,46,836.33,70,0
312,12729.0,26,453.01,113,0
314,12732.0,12,236.26000000000002,179,0
